Word,Translation/Explanation,Example Sentence
and,和；以及 (conj.),You and I are friends.
all,全部的；所有 (adj.),All students must attend class.
boy,男孩 (n.),The boy played in the park.
car,汽車 (n.),She drives a red car.
cat,貓 (n.),The cat is sleeping on the sofa.
day,天；白天 (n.),It was a beautiful day.
end,結束；末端 (n./v.),The movie ends at nine.
family,家庭；家人 (n.),My family eats dinner together.
home,家；家裡 (n.),She went home after work.
it,它；這 (pron.),It is raining outside.
man,男人；人 (n.),The man smiled at me.
name,名字；名稱 (n.),What is your name?
one,一；某個 (num./adj.),One student raised her hand.
people,人們；人民 (n.),Many people came to the event.
read,閱讀；讀 (v.),I read a book every night.
school,學校 (n.),She walks to school every day.
speak,說話；講 (v.),He speaks English fluently.
this,這；這個 (pron./adj.),This is my favorite song.
the,這個；那個 (art.),The sun rises in the east.
you,你；您 (pron.),You are very kind.
ask,問；詢問 (v.),Don't be afraid to ask questions.
book,書；書本 (n.),She borrowed a book from the library.
child,孩子；兒童 (n.),Every child deserves an education.
can,能夠；可以 (aux.v.),I can speak three languages.
dog,狗 (n.),My dog loves to run.
eye,眼睛 (n.),She has beautiful blue eyes.
first,第一；首先 (adj./adv.),He finished first in the race.
go,去；走 (v.),Let's go to the park.
he,他 (pron.),He is my best friend.
in,在…裡面；在…內 (prep.),She lives in Taipei.
learn,學習；學 (v.),You can learn a lot from mistakes.
morning,早晨；上午 (n.),I exercise every morning.
open,打開；開放 (v./adj.),Please open the window.
play,玩；演奏 (v.),Children love to play outside.
question,問題；疑問 (n.),She asked a great question.
room,房間；空間 (n.),The room is very clean.
say,說；講 (v.),What did she say?
start,開始；出發 (v.),The meeting starts at 9 AM.
today,今天；今日 (n./adv.),What are you doing today?
word,單字；話語 (n.),He couldn't find the right word.
about,關於；大約 (prep./adv.),Tell me about your day.
at,在（某地點/時間）(prep.),She is at the office.
brother,兄弟；哥哥/弟弟 (n.),My brother is two years older.
chair,椅子 (n.),Please take a seat in the chair.
drink,喝；飲料 (v./n.),Would you like something to drink?
easy,容易的；輕鬆的 (adj.),This exercise is easy.
father,父親；爸爸 (n.),My father taught me to cook.
girl,女孩；少女 (n.),The girl laughed loudly.
help,幫助；協助 (v./n.),Can you help me?
know,知道；了解 (v.),I know how to drive.
my,我的 (pron.),This is my bag.
new,新的；新 (adj.),She bought a new phone.
please,請；使高興 (adv./v.),Please sit down.
paper,紙；報紙 (n.),Write your answer on paper.
rich,富有的；豐富的 (adj.),He became rich through hard work.
she,她 (pron.),She is a great teacher.
show,展示；表演 (v./n.),Show me your work.
son,兒子 (n.),His son just graduated.
they,他們；她們 (pron.),They went to the cinema.
what,什麼；多麼 (pron./adj.),What do you want for lunch?
always,總是；一直 (adv.),She always arrives on time.
body,身體；主體 (n.),Exercise is good for your body.
be,是；存在 (v.),Be kind to others.
cry,哭泣；喊叫 (v.),The baby began to cry.
careful,小心的；謹慎的 (adj.),Be careful when crossing the road.
door,門 (n.),Please close the door.
everything,一切；每件事 (pron.),Everything will be alright.
face,臉；面對 (n./v.),She has a kind face.
her,她的；她 (pron.),I gave her a gift.
if,如果；假如 (conj.),"If it rains, we'll stay home."
many,許多的；很多 (adj.),Many people attended the concert.
no,不；沒有 (adv./adj.),There is no time to waste.
place,地方；地點 (n.),This is a beautiful place.
pen,筆；鋼筆 (n.),Can I borrow your pen?
road,道路；公路 (n.),The road is very long.
student,學生 (n.),She is an excellent student.
stop,停止；停下 (v.),Stop talking during the movie.
two,二；兩個 (num.),I have two sisters.
where,哪裡；在哪 (adv.),Where do you live?
want,想要；需要 (v.),I want to travel the world.
answer,回答；答案 (n./v.),Please answer the question.
between,在…之間 (prep.),Choose between the two options.
clear,清楚的；清晰 (adj.),The explanation was very clear.
country,國家；鄉村 (n.),France is a beautiful country.
dance,跳舞；舞蹈 (v./n.),She loves to dance.
do,做；執行 (v.),What do you do for fun?
each,每個；各自 (adj./pron.),Each student must submit their work.
friend,朋友 (n.),She is my best friend.
his,他的 (pron.),This is his car.
job,工作；職業 (n.),He has a great job.
life,生命；生活 (n.),Life is full of surprises.
more,更多；更 (adj./adv.),I need more time.
park,公園；停車 (n./v.),Let's have lunch in the park.
person,人；個人 (n.),She is a very kind person.
ready,準備好的 (adj.),Are you ready to go?
second,第二；秒 (adj./n.),Wait just one second.
soon,很快；不久 (adv.),She will arrive soon.
that,那個；以便 (pron./conj.),I believe that you can do it.
we,我們 (pron.),We are a great team.
why,為什麼 (adv.),Why are you late?
able,能夠；有能力 (adj.),Are you able to help me?
but,但是；然而 (conj.),I was tired but happy.
before,在…之前；以前 (prep./adv.),Finish your work before dinner.
close,關閉；靠近 (v./adj.),Please close the door.
clean,乾淨的；清潔 (adj./v.),Keep your room clean.
dream,夢想；夢 (n./v.),Follow your dream.
eight,八；8 (num.),She wakes up at eight.
for,為了；給 (prep.),This gift is for you.
hand,手；遞給 (n./v.),She raised her hand.
inside,裡面；在內部 (prep./adv.),"Come inside, it's cold."
now,現在；目前 (adv.),What are you doing now?
or,或者；否則 (conj.),Tea or coffee?
picture,圖片；畫 (n.),She drew a beautiful picture.
river,河流；河 (n.),They swam in the river.
shop,商店；購物 (n./v.),I need to shop for groceries.
ship,船；運送 (n./v.),The ship arrived at the port.
sit,坐；坐下 (v.),Please sit down.
table,桌子；表格 (n.),Set the table for dinner.
very,非常；很 (adv.),She is very talented.
write,寫；書寫 (v.),Write your name here.
air,空氣；空中 (n.),The air here is very fresh.
black,黑色；黑的 (adj./n.),She wore a black dress.
cheese,起司；乳酪 (n.),I love cheese on pasta.
cinema,電影院；電影 (n.),Let's go to the cinema tonight.
daughter,女兒 (n.),Her daughter is five years old.
eat,吃；進食 (v.),What do you want to eat?
from,從；來自 (prep.),She is from Taiwan.
good,好的；良好 (adj.),You did a good job.
head,頭；領導 (n./v.),She shook her head.
important,重要的 (adj.),Health is very important.
land,土地；陸地；降落 (n./v.),The plane will land soon.
money,錢；金錢 (n.),Money can't buy happiness.
problem,問題；難題 (n.),We need to solve this problem.
pay,付錢；支付 (v.),I'll pay for dinner tonight.
run,跑；運作 (v.),She runs every morning.
see,看見；了解 (v.),Can you see the mountain?
same,相同的；一樣的 (adj.),We have the same opinion.
send,寄送；發送 (v.),Send me the document.
thing,東西；事物 (n.),That's a strange thing to say.
work,工作；運作 (v./n.),She works very hard.
any,任何；一些 (adj./pron.),Do you have any questions?
as,作為；如同 (prep./conj.),He works as a designer.
better,更好的；改善 (adj./v.),Practice makes you better.
come,來；到來 (v.),Come to my office at three.
cold,冷的；感冒 (adj./n.),It's very cold today.
doctor,醫生；博士 (n.),She is a great doctor.
find,找到；發現 (v.),I can't find my keys.
game,遊戲；比賽 (n.),Let's play a game.
idea,想法；主意 (n.),That's a great idea!
kind,種類；友善的 (n./adj.),She is a very kind person.
live,居住；活著 (v.),Where do you live?
make,製作；使得 (v.),Can you make dinner tonight?
popular,受歡迎的；流行的 (adj.),This song is very popular.
peace,和平；寧靜 (n.),We all want world peace.
right,對的；右邊；權利 (adj./n.),You have the right to speak.
small,小的；少量的 (adj.),She lives in a small apartment.
so,所以；如此 (conj./adv.),"I was tired, so I went to bed."
some,一些；某些 (adj./pron.),Would you like some coffee?
there,那裡；那邊 (adv.),She is standing over there.
wait,等待；等 (v.),Please wait for me.
again,再次；又 (adv.),Can you say that again?
back,回；背後 (adv./n.),She called me back.
could,能夠（過去式）(aux.v.),Could you help me please?
chance,機會；可能性 (n.),Give me a chance to explain.
document,文件；記錄 (n./v.),Please sign the document.
egg,蛋；雞蛋 (n.),She had an egg for breakfast.
fire,火；解雇 (n./v.),The fire spread quickly.
give,給予；給 (v.),Give me your honest opinion.
information,資訊；信息 (n.),I need more information.
light,光；燈；輕的 (n./adj.),Turn off the light.
may,可能；可以 (aux.v.),May I use your phone?
often,經常；時常 (adv.),How often do you exercise?
prefer,更喜歡；偏好 (v.),I prefer tea over coffee.
put,放；置 (v.),Put your phone away.
red,紅色；紅的 (adj./n.),She wore a red jacket.
stone,石頭；石 (n.),He threw a stone into the lake.
such,如此；這樣的 (adj./adv.),I've never seen such beauty.
think,認為；思考 (v.),Think before you speak.
understand,理解；了解 (v.),Do you understand?
visit,拜訪；參觀 (v./n.),I'd like to visit Japan.
around,周圍；大約 (prep./adv.),She looked around the room.
best,最好的；最佳 (adj./adv.),Do your best.
call,打電話；呼叫 (v./n.),I'll call you tonight.
cut,切；削減 (v.),Cut the apple in half.
dinner,晚餐；正餐 (n.),What's for dinner?
down,向下；下面 (adv./prep.),"Sit down, please."
explain,解釋；說明 (v.),Can you explain this to me?
get,獲得；到達 (v.),Get some rest tonight.
interesting,有趣的；引人入勝的 (adj.),That's an interesting idea.
long,長的；長時間 (adj./adv.),It's been a long day.
move,移動；搬家 (v./n.),Don't move.
out,出去；外面 (adv./prep.),Let's go out for dinner.
page,頁；頁面 (n.),Turn to page ten.
rest,休息；其餘 (v./n.),You need to get some rest.
reach,到達；伸手取 (v.),We finally reached the top.
stand,站立；忍受 (v.),Stand up straight.
should,應該；應當 (aux.v.),You should see a doctor.
set,設定；一套 (v./n.),Set the alarm for 7 AM.
time,時間；次數 (n.),Time flies when you're having fun.
up,向上；起來 (adv./prep.),Wake up early.
age,年齡；時代 (n.),What's your age?
big,大的；重要的 (adj.),That's a big decision.
because,因為；由於 (conj.),I stayed home because it rained.
camera,相機；攝影機 (n.),She takes photos with her camera.
city,城市；市 (n.),I love living in the city.
dress,洋裝；穿衣服 (n./v.),She wore a white dress.
evening,傍晚；晚上 (n.),Let's meet this evening.
free,自由的；免費 (adj.),Are you free this weekend?
have,有；擁有 (v.),I have a lot of work to do.
ill,生病的；不舒服 (adj.),She stayed home because she was ill.
like,喜歡；像 (v./prep.),I like to travel.
mother,母親；媽媽 (n.),My mother is a great cook.
old,老的；舊的 (adj.),He's an old friend of mine.
police,警察；警方 (n.),She called the police.
remember,記得；記住 (v.),Do you remember my name?
study,學習；研究 (v./n.),She studies hard every day.
street,街道；馬路 (n.),I live on a quiet street.
teacher,老師；教師 (n.),She is an amazing teacher.
voice,聲音；嗓音 (n.),She has a beautiful voice.
water,水；澆水 (n./v.),Drink more water every day.
also,也；同樣地 (adv.),I also like Japanese food.
box,箱子；盒子 (n.),Put it in the box.
change,改變；零錢 (v./n.),Change your attitude.
class,班級；課程 (n.),What time is your class?
drive,駕駛；驅動 (v./n.),She drives to work every day.
difficult,困難的；艱難 (adj.),This problem is difficult.
food,食物；食品 (n.),Taiwanese food is delicious.
great,偉大的；極好 (adj.),You did a great job!
happy,快樂的；高興 (adj.),She looks very happy today.
juice,果汁 (n.),I'd like a glass of orange juice.
meet,見面；遇見 (v.),Nice to meet you.
need,需要；必須 (v./n.),I need your help.
pretty,漂亮的；相當 (adj./adv.),That's a pretty dress.
quite,相當；完全 (adv.),It's quite cold today.
real,真實的；實際 (adj.),Is this a real diamond?
sad,傷心的；悲傷 (adj.),She felt sad after the news.
spring,春天；彈簧；跳 (n./v.),Cherry blossoms bloom in spring.
star,星星；明星 (n.),She's a rising star.
take,拿；花費；帶 (v.),Take a deep breath.
yes,是的；對 (adv.),"Yes, I agree with you."
alone,單獨的；獨自 (adj./adv.),She prefers to work alone.
action,行動；動作 (n.),Take action before it's too late.
breakfast,早餐；早飯 (n.),I never skip breakfast.
continue,繼續；持續 (v.),Please continue your story.
dead,死的；無生命 (adj.),The plant looks dead.
enjoy,享受；喜歡 (v.),I enjoy hiking on weekends.
full,滿的；充實 (adj.),The restaurant was full.
garden,花園；庭院 (n.),She grows vegetables in her garden.
house,房子；住宅 (n.),They bought a new house.
journey,旅程；旅行 (n.),The journey took three hours.
much,很多；大量 (adj./adv.),Thank you very much.
nothing,沒有；什麼都不 (pron.),There's nothing to worry about.
phone,電話；手機 (n.),My phone battery is low.
price,價格；代價 (n.),What's the price of this bag?
result,結果；成果 (n.),The test results came back.
sister,姐妹；姊妹 (n.),My sister lives in Taipei.
sun,太陽；陽光 (n.),The sun sets in the west.
tell,告訴；說 (v.),Tell me the truth.
view,景色；觀點 (n.),The view from here is amazing.
with,和；用；帶著 (prep.),Come with me.
against,反對；對抗 (prep.),Are you for or against the idea?
bus,公車；巴士 (n.),I take the bus to work.
church,教堂；教會 (n.),They got married in a church.
company,公司；陪伴 (n.),She works for a big company.
desert,沙漠；拋棄 (n./v.),The Sahara is the largest desert.
expensive,昂貴的；費錢 (adj.),This watch is very expensive.
flower,花；開花 (n./v.),She received a bouquet of flowers.
green,綠色；環保 (adj./n.),Eat more green vegetables.
impossible,不可能的 (adj.),Nothing is impossible.
leave,離開；留下 (v.),What time do you leave work?
month,月份；月 (n.),We met last month.
on,在…上；繼續 (prep./adv.),Put the book on the table.
plan,計劃；打算 (n./v.),What's your plan for the weekend?
possible,可能的；可能 (adj.),Is it possible to change the date?
return,返回；歸還 (v./n.),When will you return?
something,某事；某物 (pron.),Something is wrong.
sea,海；大海 (n.),I love the sound of the sea.
save,拯救；節省 (v.),Save your work often.
together,一起；共同 (adv.),Let's do this together.
woman,女人；女性 (n.),She is a confident woman.
anything,任何事；任何東西 (pron.),Is there anything I can do?
army,軍隊；陸軍 (n.),He served in the army for years.
bad,壞的；不好 (adj.),That's a bad idea.
cover,覆蓋；封面 (v./n.),Cover the pot with a lid.
culture,文化；文明 (n.),Taiwan has a rich culture.
decision,決定；決策 (n.),It was a difficult decision.
example,例子；榜樣 (n.),Can you give me an example?
feel,感覺；觸摸 (v.),How do you feel today?
how,如何；怎樣 (adv.),How do you say this in English?
island,島嶼；島 (n.),Taiwan is a beautiful island.
member,成員；會員 (n.),She's a member of the club.
next,下一個；緊接 (adj./adv.),Who's next?
position,位置；職位 (n.),What position do you play?
present,禮物；當下；呈現 (n./adj./v.),She gave me a present.
record,記錄；唱片 (n./v.),She broke the world record.
sweet,甜的；甜蜜 (adj.),This cake is very sweet.
sleep,睡覺；睡眠 (v./n.),I need to sleep early.
try,嘗試；試試 (v.),Try your best.
under,在…下面；少於 (prep.),The cat is under the table.
world,世界；世間 (n.),She wants to travel the world.
after,在…之後；以後 (prep./adv.),Let's talk after dinner.
bed,床；床鋪 (n.),It's time to go to bed.
buy,購買；買 (v.),I need to buy some groceries.
catch,抓住；趕上 (v.),Catch the ball!
corner,角落；轉角 (n.),The café is on the corner.
distance,距離；遠方 (n.),The distance is about 10 km.
education,教育；學歷 (n.),Education opens many doors.
fast,快速的；快 (adj./adv.),She types very fast.
here,這裡；在此 (adv.),"Come here, please."
interest,興趣；利息 (n.),What are your interests?
letter,信件；字母 (n.),She wrote him a letter.
never,從不；絕不 (adv.),I've never been to Paris.
president,總統；主席 (n.),She became the first female president.
part,部分；零件 (n.),Which part did you like best?
round,圓的；一輪；環繞 (adj./n./v.),Let's do another round.
several,幾個；若干 (adj.),She called several times.
sound,聲音；聽起來 (n./v.),That sounds like a great idea.
story,故事；樓層 (n.),Tell me a story.
talk,說話；談話 (v./n.),We need to talk.
week,週；星期 (n.),I'll see you next week.
almost,幾乎；差不多 (adv.),I'm almost done.
bread,麵包 (n.),She baked fresh bread.
chief,首領；主要的 (n./adj.),He is the chief of the tribe.
control,控制；管制 (v./n.),Control your emotions.
dear,親愛的；昂貴的 (adj.),"Dear friend, how are you?"
every,每個；每 (adj.),I exercise every day.
few,幾個；少數 (adj./pron.),Only a few people showed up.
gold,黃金；金色 (n./adj.),She wore a gold necklace.
invite,邀請；招待 (v.),I'd like to invite you to dinner.
late,遲的；晚 (adj./adv.),Sorry I'm late.
most,最多；大部分 (adj./adv.),Most students passed the exam.
only,只；僅 (adv./adj.),I only have five minutes.
product,產品；成果 (n.),This is our latest product.
public,公共的；公眾 (adj./n.),Don't talk about it in public.
receive,收到；接受 (v.),Did you receive my email?
strong,強壯的；堅強 (adj.),She has a strong will.
sorry,抱歉；對不起 (adj.),I'm sorry for being late.
then,那時；然後 (adv.),"Finish this, then rest."
too,也；太 (adv.),I want to come too.
way,方式；路 (n.),What's the best way to learn English?
across,穿越；橫跨 (prep./adv.),She swam across the river.
art,藝術；美術 (n.),She studied art in college.
bring,帶來；拿來 (v.),Bring a jacket — it'll be cold.
confirm,確認；確定 (v.),Please confirm your appointment.
carry,攜帶；搬運 (v.),Can you carry this bag for me?
die,死亡；枯萎 (v.),The flowers will die without water.
east,東方；東部 (n./adj.),The sun rises in the east.
group,群體；小組 (n.),She joined a study group.
hope,希望；盼望 (v./n.),I hope to see you soon.
industry,工業；產業 (n.),She works in the tech industry.
look,看；尋找 (v./n.),Look at this beautiful view.
must,必須；一定 (aux.v.),You must finish before Friday.
own,自己的；擁有 (adj./v.),She owns her own business.
personal,個人的；私人 (adj.),This is a personal matter.
reason,原因；理由 (n.),What's the reason for your visit?
shall,將；應當 (aux.v.),Shall we begin?
service,服務；維修 (n.),The service here is excellent.
stay,留；停留 (v.),How long will you stay?
their,他們的；她們的 (pron.),Their house is very big.
wife,妻子；太太 (n.),He introduced me to his wife.
away,離開；遠去 (adv.),She walked away slowly.
beautiful,美麗的；漂亮 (adj.),What a beautiful sunset!
care,關心；照顧 (v./n.),Take care of yourself.
cost,費用；花費 (n./v.),How much does it cost?
deep,深的；深刻 (adj.),Take a deep breath.
enough,足夠的；夠 (adj./adv.),Do we have enough time?
fight,打架；爭鬥 (v./n.),Don't fight over small things.
garage,車庫；修車廠 (n.),The car is in the garage.
into,進入；到…裡 (prep.),She walked into the room.
keep,保持；保留 (v.),Keep up the good work.
miss,想念；錯過 (v.),I miss my hometown.
other,其他的；另一個 (adj./pron.),On the other hand...
player,玩家；選手 (n.),She's the best player on the team.
rather,相當；寧可 (adv.),I'd rather stay home tonight.
remain,保持；剩餘 (v.),Please remain seated.
south,南方；南部 (n./adj.),She moved to the south.
side,側面；邊 (n.),Which side are you on?
true,真實的；真的 (adj.),Is that true?
use,使用；用途 (v./n.),Use your time wisely.
who,誰 (pron.),Who is calling?
already,已經；早已 (adv.),I've already eaten.
become,成為；變得 (v.),She became a doctor.
cause,原因；導致 (n./v.),What caused the delay?
certain,確定的；某些 (adj.),I'm not certain about that.
describe,描述；形容 (v.),Describe what you saw.
dry,乾燥的；晾乾 (adj./v.),The weather is hot and dry.
expect,期待；預期 (v.),I expect a reply by tomorrow.
fact,事實；實情 (n.),"In fact, she was right."
hard,困難的；努力 (adj./adv.),She works very hard.
include,包括；包含 (v.),The price includes tax.
let,讓；允許 (v.),Let me help you.
moment,片刻；時刻 (n.),"Just a moment, please."
power,力量；電力 (n.),Knowledge is power.
provide,提供；供給 (v.),We provide free Wi-Fi.
report,報告；匯報 (n./v.),She wrote a detailed report.
single,單一的；單身 (adj.),Every single detail matters.
system,系統；制度 (n.),The system needs an update.
seat,座位；坐 (n./v.),Please take a seat.
through,穿過；透過 (prep./adv.),She got the job through a friend.
which,哪個；哪些 (pron./adj.),Which one do you prefer?
apple,蘋果 (n.),An apple a day keeps the doctor away.
blue,藍色；藍的 (adj./n.),The sky is blue today.
colour,顏色；色彩 (n.),What's your favourite colour?
clock,時鐘；鐘 (n.),The clock on the wall reads 3 PM.
different,不同的；差異 (adj.),We come from different backgrounds.
earth,地球；土地 (n.),We must protect the earth.
film,電影；薄膜 (n.),Have you seen that film?
glad,高興的；樂意 (adj.),I'm glad you came.
hour,小時；時 (n.),The meeting lasted an hour.
just,剛剛；只是；公正 (adv./adj.),I just arrived home.
love,愛；喜愛 (v./n.),I love learning new languages.
number,數字；號碼 (n.),What's your phone number?
pencil,鉛筆 (n.),Write in pencil first.
quick,快速的；迅速 (adj./adv.),Please give me a quick answer.
rain,下雨；雨 (v./n.),It's going to rain tomorrow.
simple,簡單的；樸素 (adj.),Keep it simple.
summer,夏天；夏季 (n.),I love summer holidays.
tree,樹；樹木 (n.),There's a big tree in the yard.
town,小鎮；城鎮 (n.),She grew up in a small town.
window,窗戶；視窗 (n.),Open the window for fresh air.
address,地址；演說 (n./v.),What's your home address?
building,建築物；大樓 (n.),The building has 30 floors.
computer,電腦；計算機 (n.),She works on her computer all day.
cross,穿越；交叉；生氣 (v./adj.),Look both ways before you cross.
desk,書桌；辦公桌 (n.),Her desk is very organized.
ear,耳朵 (n.),She has a good ear for music.
fish,魚；釣魚 (n./v.),She cooks fish every Friday.
glass,玻璃；杯子 (n.),Can I have a glass of water?
ice,冰；冰塊 (n.),Add some ice to my drink.
key,鑰匙；關鍵 (n.),The key to success is persistence.
minute,分鐘；分 (n.),I'll be ready in a minute.
office,辦公室；辦公 (n.),She works from the office.
parent,父母；家長 (n.),My parents are very supportive.
post,郵件；貼文；職位 (n./v.),She posted a photo online.
rock,岩石；搖滾 (n./v.),The rock was too heavy to move.
sport,運動；體育 (n.),What's your favourite sport?
search,搜尋；尋找 (v./n.),Let me search for the answer.
tea,茶；茶葉 (n.),Would you like some green tea?
valley,山谷；谷地 (n.),The village is in a beautiful valley.
walk,走路；步行 (v./n.),I walk to work every day.
airport,機場；航空站 (n.),The flight leaves from the airport.
baby,嬰兒；寶寶 (n.),The baby is sleeping.
central,中央的；核心 (adj.),The office is in a central location.
card,卡片；名片 (n.),She handed me her business card.
direction,方向；指示 (n.),Can you give me directions?
dollar,美元；元 (n.),It costs ten dollars.
fruit,水果；成果 (n.),Eat more fruit and vegetables.
gift,禮物；天賦 (n.),She has a gift for music.
high,高的；高 (adj./adv.),She aims high in everything she does.
illness,疾病；病 (n.),Stress can lead to illness.
milk,牛奶 (n.),She drinks milk every morning.
not,不；沒有 (adv.),I do not agree with that.
piece,一塊；片段 (n.),Can I have a piece of cake?
protect,保護；防護 (v.),We must protect the environment.
race,種族；比賽 (n.),She won the race.
smile,微笑；笑容 (v./n.),Her smile brightens the room.
slow,慢的；緩慢 (adj.),Take it slow.
since,自從；因為 (prep./conj.),I've lived here since 2010.
ticket,票；罰單 (n.),I bought two tickets.
well,好；健康 (adv./adj.),You did very well.
accident,意外；事故 (n.),She had a car accident.
blood,血；血液 (n.),Blood pressure was too high.
business,生意；商業 (n.),She started her own business.
choose,選擇；挑選 (v.),Choose your words carefully.
during,在…期間；在…過程中 (prep.),Don't use your phone during meetings.
even,甚至；均勻的 (adv./adj.),Even small steps matter.
floor,地板；樓層 (n.),The office is on the third floor.
general,一般的；將軍 (adj./n.),"In general, she agrees with us."
inform,通知；告知 (v.),Please inform me of any changes.
little,小的；少量 (adj./adv.),Just a little bit more.
meeting,會議；見面 (n.),The meeting starts at 2 PM.
order,命令；訂購；順序 (n./v.),May I take your order?
party,派對；政黨 (n.),Are you coming to the party?
pink,粉紅色；粉色 (adj./n.),She wore a pink scarf.
reply,回覆；答覆 (v./n.),I haven't received a reply.
snow,雪；下雪 (n./v.),It rarely snows in Taipei.
sugar,糖；砂糖 (n.),She takes her coffee without sugar.
travel,旅行；旅遊 (v./n.),I love to travel.
virus,病毒；電腦病毒 (n.),The computer has a virus.
watch,手錶；觀看 (n./v.),Let's watch a movie tonight.
another,另一個；再一個 (adj./pron.),Can I have another cup?
believe,相信；認為 (v.),I believe you can do it.
both,兩個；兩者都 (adj./pron.),Both options are good.
crazy,瘋狂的；著迷 (adj.),That's a crazy idea!
cup,杯子；一杯 (n.),She had a cup of green tea.
decide,決定；下決心 (v.),Have you decided yet?
ever,曾經；從來 (adv.),Have you ever been to Japan?
field,田野；領域 (n.),She's an expert in her field.
heart,心臟；心 (n.),Follow your heart.
imagine,想像；設想 (v.),Imagine a better world.
line,線；排隊 (n.),"Wait in line, please."
meat,肉；肉類 (n.),She doesn't eat red meat.
over,超過；結束 (prep./adv.),The meeting is over.
pull,拉；拖 (v.),"Pull the door, don't push."
ring,戒指；鈴聲；打電話 (n./v.),She wears a gold ring.
speed,速度；加速 (n./v.),Reduce your speed near schools.
sell,賣；銷售 (v.),She sells handmade jewellery.
similar,相似的；類似 (adj.),They have similar tastes.
than,比；超過 (conj./prep.),She is taller than me.
your,你的；您的 (pron.),Is this your bag?
above,在…上面；超過 (prep.),The answer is above the line.
begin,開始；起始 (v.),Let's begin the meeting.
century,世紀；一百年 (n.),We live in the 21st century.
consider,考慮；思考 (v.),I'll consider your suggestion.
dangerous,危險的；不安全 (adj.),That road is very dangerous.
dark,黑暗的；深色 (adj./n.),It's getting dark outside.
exchange,交換；兌換 (v./n.),Let's exchange contact information.
government,政府；管理 (n.),The government announced new policies.
hear,聽到；聽說 (v.),Did you hear the news?
jump,跳；躍 (v./n.),She jumped over the puddle.
material,材料；物質 (n./adj.),What material is this made of?
near,靠近；接近 (prep./adj.),She lives near the office.
past,過去；以前 (n./adj.),Let's not dwell on the past.
produce,生產；產生 (v.),The factory produces 1000 units daily.
remove,移除；除去 (v.),Please remove your shoes.
song,歌曲；歌 (n.),She sang a beautiful song.
secret,秘密；祕訣 (n./adj.),Can you keep a secret?
television,電視；電視機 (n.),She watches television every evening.
value,價值；珍視 (n./v.),Health is the greatest value.
when,當…時；什麼時候 (conj./adv.),When will you be back?
arm,手臂；武器 (n.),She broke her arm last year.
